Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
,,,ISM Sessions (Sec-A),https://tinyurl.com/2xhyscl5,,,
,,,ISM All Sessions with Web file (Sec-B),https://tinyurl.com/23865bro,,,
,,"Lecture Videos(Sec-A)	",,,,,
,,,Lecture-1,https://youtu.be/IjrKF9mVdgo,,,
,,,Lecture-2,https://youtu.be/hfcp1odo4nQ,,,
,,,Lecture-3,https://youtu.be/W-pIZ5Ag9bA,,,
,,,Lecture-4,https://youtu.be/_aUi0BC7vZE,,,
,,,Lecture-5,https://youtu.be/tPBjkjaMhgU,,,
,,,Lecture-6,https://youtu.be/rm444EVMFYQ,,,
,,,Lecture-7,https://youtu.be/gj68UXC7YOs,,,
,,,Lecture-8,https://youtu.be/8lmz-P6jT6k,,,
,,,Lecture-9,https://youtu.be/7AOyLPsRih8,,,
,,,Lecture-10,https://youtu.be/cgX6925nwKE,,,
,,,Lecture-11,https://youtu.be/lp93fabWE80,,,
,,,Webinar-1,https://youtu.be/5ExEQ5M71J0,,,
,,,Webinar-2,https://youtu.be/IYx2gAl3iTU,,,
,,,Webinar-3,https://youtu.be/fCoMwax1_Ng,,,
,,,Webinar-4,https://youtu.be/NTKwj1cNGPk,,,
,,,Webinar-5,https://youtu.be/tZ90e_JFQUE,,,
,,,Webinar-6,https://youtu.be/FgC_Cr5-CSw,,,
,,,Webinar-7,https://youtu.be/AFWflSFR8v4,,,
,,,Webinar-8,https://youtu.be/BS0JeGhDVLM,,,
,,,Webinar-9,https://youtu.be/Faek9X0lskg,,,
,,,Webinar-10,https://youtu.be/RiUqcYro5iA,,,
,,,,,,,
,,"Lecture Videos (Sec-B)	",,,,,
,,,Lecture-1,https://youtu.be/FqQf9zVSxjk,,,
,,,Lecture-2,https://youtu.be/Ky99dJiq3oU,,,
,,,Lecture-3,https://youtu.be/VJwvIrzZOmw,,,
,,,Lecture-4,https://youtu.be/-3nL8JDlcwU,,,
,,,Lecture-5,https://youtu.be/8DxI39RY6DI,,,
,,,Lecture-6,https://youtu.be/B8tryrAa84A,,,
,,,Lecture-7,https://youtu.be/VgmkA4tAqMo,,,
,,,Lecture-8,https://youtu.be/2KBI2Ix7fg0,,,
,,,Lecture-9,https://youtu.be/H5AzXPxij4s,,,
,,,Lecture-10,https://youtu.be/UNu2Bu3xsLk,,,
,,,Lecture-11,https://youtu.be/uHNMG7FFIhQ,,,
,,,Lecture-12,https://youtu.be/cI7msIQDSi8,,,
,,,Lecture-13,https://youtu.be/Q3xMW4SDLpw,,,
,,,Web-1,https://youtu.be/L9y2NjH9IVc,,,
,,,Web-2,https://youtu.be/IOe4QV8tvNY,,,
,,,Web-3,https://youtu.be/N18-QmE2PMI,,,
,,,Web-4,https://youtu.be/Bt6t8-VANTA,,,
,,,Web-5,https://youtu.be/6_TvwUN0pww,,,
,,,Web-6,https://youtu.be/r3WMacY329o,,,
,,,Web-7,https://youtu.be/6VGjnWFYfVc,,,
